Name,Category,Latitude,Longitude,Address,Tags,Bus,Metro,Cab,Open_time,Close_time,Famous For
Orah Brew Garden,"European-Themed Rooftop Brewpub & Lounge, Casual Dining & Nightlife Destination",13.1,77.596,"Orah Brew Garden
4th Floor, Prestige Plaza, New Town Main Road,
Yelahanka, Bengaluru, Karnataka 560065, India",#OrahBrewGarden #YelahankaBrewpub #EuropeanVibes #RooftopDining #CraftBeerBangalore #LiveMusicVenue #RomanticDining #BangaloreNightlife #AlFrescoExperience #OrahExperience,1,0,1,11:30,01:00,"1)Ambiance
2)Culinary Delights
3)Beverages
4)Entertainment
5)Facilities"
Zodiac Bar & Kitchen,"Rooftop Lounge & Nightlife Destination, Multi-Cuisine Dining & Bar",12.9616,77.7016,"Zodiac Bar & Kitchen
42/3, Marathahalli Main Road, Silver Springs Layout, Munnekollal, Marathahalli, Bengaluru, Karnataka 560037, India",#ZodiacBarAndKitchen #MarathahalliNightlife #RooftopDining #CraftCocktails #LiveMusicBangalore #BangaloreNightlife #FoodieHaven #ZodiacExperience #BangaloreEats #PartyInBangalore,1,1,1,12:00,23:59,"1)Ambiance
2)Culinary Delights
3)Beverages
4)Entertainment
5)Service"
 Nusa – Tropical Brewvilla,"Balinese-Inspired Microbrewery, Tropical Lounge, and Gastro-Pub", 12.9760° N,77.7380° E,"Nusa – Tropical Brewvilla
23-A, Chaitanya Sharan, Gunjur Village,
Varthur Main Road, Whitefield,
Bengaluru – 560087, India","#NusaBrewvilla #TropicalVibes #BalineseAmbience #WhitefieldEats #MicrobreweryBangalore #BrewvillaExperience #InstaWorthySpots #CraftBeerLovers #BangaloreNightlife #GastroPub
",1,0,1,12:00,00:00,"1)Ambiance
2)Cuisine
3)Beverages
4)Entertainment
5)Facilities"
The Dome Café,"Rooftop Café & Lounge, Themed Dining Experience",,,"The Dome Café – Kanakapura Road
4th, 5th & 6th Floors, Ayati Annexe, Opposite KSIT College,
Kanakapura Road, Bengaluru, Karnataka 560062, India",#TheDomeCafe #RooftopDining #DomePods #BangaloreEats #InstaWorthy #ThemedCafe #BangaloreNightlife #UniqueDiningExperience #FoodieParadise #BengaluruCafes,1,0,1,11:00,00:30,"1)Ambiance
2)Cuisine
3)Affordability
4)Facilities"
 Gatsby Cocktails & Cuisines,"Jazz-Inspired Restobar, Pan-Asian & European Dining, Rooftop Lounge & Nightlife Destination",12.9031° N, 77.6000° E,"Gatsby Cocktails & Cuisines
1st Floor, ASR Group, Survey No. 23/1,
Bannerghatta Main Road, Arekere,
Bengaluru – 560076, India",#GatsbyBangalore #JazzInspired #Restobar #PanAsianCuisine #EuropeanDining #RooftopLounge #NightlifeBengaluru #LuxuryDining #GatsbyExperience #BangaloreNightlife,1,0,1,12:00,01:00,"1)Ambiance
2)Cuisine
3)Beverages
4)Entertainment
5)Facilities"
Platform 65,Train-Themed Multi-Cuisine Restaurant,12.9063° N,77.6015° E,"Platform 65
4th Floor, 75/B, Windsor F4,
Bannerghatta Road, Hulimavu,
Bengaluru, Karnataka 560076, India",#Platform65 #TrainThemedRestaurant #BangaloreEats #FamilyDining #ToyTrainService #InstaWorthy #BangaloreFoodies #UniqueDiningExperience #Platform65Bangalore #FoodOnWheels,1,0,1,12:00,23:00,"1)Ambiance
2)Cuisine
3)Facilities
4)Technology"
The Black Pearl,Pirate-Themed Buffet Restaurant & Bar,12.9054° N,77.6355° E,"The Black Pearl – Bannerghatta Road
20/7, Swamy Legato, Outer Ring Road,
Kadubeesanahalli, Bengaluru, Karnataka 560103, India",#TheBlackPearl #PirateThemedRestaurant #BangaloreBuffet #LiveMusicBangalore #BBQLovers #FamilyFriendlyDining #InstaWorthyAmbience #BangaloreNightlife #MarathahalliEats #UnlimitedFood,1,0,1,12:00,23:00,"1)Ambiance
2)Cuisine
3)Entertainment
4)Facilities
5)Specialties"
ISIRI Restobar,Train-Themed Multi-Cuisine Restaurant & Bar,12.9301° N, 77.6873° E,"ISIRI Restobar
39/3, Doddanakundi Junction, Opposite Soul Space Arena,
Outer Ring Road, Marathahalli, Bengaluru – 560037, India",#ISIRIRestobar #TrainThemedRestaurant #MarathahalliEats #BangaloreNightlife #MultiCuisineDining #AndhraCuisine #MangaloreanFlavors #BiryaniLovers #KebabDelights #InstaWorthyAmbience,1,0,1,11:30,23:30,"1)Ambiance
2)Cuisine
3)Entertainment
4)Facilities
5)Specialties"
Shivajinagar Street Food,Street Food Market & Night Bazaar,12.9783° N, 77.6090° E,"Shivajinagar Food Street
Chandni Chowk Area, Near St. Mary's Basilica,
Shivajinagar, Bengaluru – 560051, India",#ShivajinagarStreetFood #ChandniChowkBangalore #BangaloreFoodie #NightMarket #StreetFoodBangalore #RamadanFoodBangalore #BangaloreEats #FoodOnWheels #BangaloreNightlife #BiryaniLovers,1,1,1,18:00,23:00,"1)Kebabs & Grilled Meats
2)Biryani & Pulao
3)Tandoori Specialties
4)Street Snacks
5)Late-Night Dining"
 Johnson Market,Historic Street Food Market & Night Bazaar,12.9716° N, 77.6024° E,"Johnson Market, Richmond Town, Bengaluru, Karnataka 560025, India",#JohnsonMarket #BangaloreStreetFood #RichmondTownEats #BeefBiryani #KebabsAndRolls #LateNightFood #BangaloreNightlife #FoodieParadise #KhazanaFoodParadise #FanoosBangalore,1,1,1,18:00,23:00,"1)Kebabs & Grilled Meats
2)Biryani & Pulao
3)Tandoori Specialties
4)Street Snacks
5)Late-Night Dining"
Koramangala 6th Block,Residential & Commercial Hub,12.9340114° N,77.6222304° E,"Koramangala 6th Block
Bengaluru, Karnataka 560095, India","#Koramangala6thBlock #BangaloreLiving #Koramangala #ResidentialArea #CommercialHub #BangaloreRealEstate #KoramangalaEats #KoramangalaShopping #BangaloreLifestyle #KoramangalaNightlife
",1,1,1,,,"1)Diverse Cuisine
2)Cafés & Bakeries
3)Shopping
4)Nightlife
5)Educational Institutions"
Brahmin's Coffee Bar,Iconic South Indian Breakfast Joint,12.9398° N, 77.5779° E,"Brahmin's Coffee Bar
Shop No. 3, Ranga Rao Road, Near Shankar Mutt,
Shankarpuram, Basavanagudi, Bengaluru – 560004, India",#BrahminsCoffeeBar #BasavanagudiEats #SouthIndianBreakfast #BangaloreFoodie #IdliVadaLovers #FilterCoffee #BangaloreBreakfast #IconicEateries #BangaloreFoodCulture #VegetarianDelights,1,1,1," 6:00 AM
3:00 PM"," 12:00 PM
 7:00 PM","1)Idli & Vada Combo
2)Khara Bath & Kesari Bath
3)Filter Coffee
4)No-Frills Ambiance
5)Legacy"
" VV Puram Food Street
Thindi Beedi
Chaat Street",Street Food Market & Night Bazaar,12.951302° N, 77.577588° E,"VV Puram Food Street
Sajjan Rao Circle, Visveswarapura, Basavanagudi, Bengaluru – 560004, Karnataka, India","#VVPuramFoodStreet #ThindiBeedi #BangaloreStreetFood #VegetarianDelights #BangaloreEats #FoodieParadise #SajjanRaoCircle #BangaloreNightlife #StreetFoodCulture #FoodLoversHaven
",1,1,1,12:30,01:00,"1)Avarebele Dosa
2)Chili Bhajji
3)Gulkand Ice Cream
4)Honey Cake & Cream Puffs
5)Pav Bhaji & Chaat"
CTR (Central Tiffin Room) – Shri Sagar,"Iconic South Indian Breakfast Joint
",13.0033° N,77.5722° E,"CTR (Central Tiffin Room) / Shri Sagar
7th Cross Road, Margosa Road, Malleshwaram, Bengaluru – 560003, Karnataka, India",#CTRShriSagar #BangaloreBreakfast #BenneMasalaDosa #MalleshwaramEats #SouthIndianDelights #BangaloreFoodie #IconicEateries #VegetarianCuisine #FilterCoffee #BangaloreFoodCulture,1,1,1,07:30,21:00,"1)Benne Masala Dosa
2)Rava Idli
3)Mangalore Bajji (Goli Bajji)
4)Poori-Saagu
5)Filter Coffee"
 Frazer Town,Street Food Market & Night Bazaar,12.9810° N, 77.6112° E,"Frazer Town
Bengaluru, Karnataka 560005, India",#FrazerTownEats #BangaloreStreetFood #MosqueRoadBangalore #FrazerTownFoodie #BangaloreNightlife #StreetFoodMarket #BangaloreBazaars #FoodieParadise #BangaloreEateries #NightBazaarBangalore,1,0,1,,,"1)Mosque Road
2)Albert Bakery
3)Thom's Bakery
4)Sheesh Kebab
5)Siddique Kebab Centre
6)Karama Restaurant
7)Chichaba's Taj
8)Manjit Da Dhaba"
Ulsoor Lake,"Urban Lake & Leisure Spot
",12.9848° N,77.6192° E,"Ulsoor Lake, Sivanchetti Gardens, Bengaluru, Karnataka 560008, India",#UlsoorLake #BangaloreViews #LakesideWalk #PeacefulSpots #NatureInCity #BangaloreTourism #PhotographySpots,1,1,1,06:00,20:00,"1)Serene walking paths
2)Scenic views and photography
3)Boating (occasionally available)
4)Migratory birds and quiet atmosphere
5)A relaxing break from city chaos"
 Bannerghatta National Park,National Park & Wildlife Safari Destination,12.7683° N, 77.5796° E,"Bannerghatta National Park
Bannerghatta, Bengaluru, Karnataka – 560083, India",#BannerghattaNationalPark #WildlifeSafari #BangaloreNature #ButterflyPark #TigerSafari #EcoTourism #NatureLovers #FamilyOuting,1,0,1,09:30,17:00,"1)Grand Safari
2)Butterfly Park
3)Zoo
4)Trekking and hiking
5)Ancient temples "
 Agara Lake,Urban Lake & Recreational Park,12.9207° N,77.6414° E,"Agara Lake, Agara Village, Sector 1, HSR Layout, Bengaluru, Karnataka 560034, India",#AgaraLake #BangaloreLakes #HSRLayout #NatureInCity #Birdwatching #JoggingTrail #FamilyOuting #UrbanOasis,1,0,1," 5:30 AM
4:00 PM","11:00 AM
 6:30 PM","1)Jogging & Cycling Tracks
2)Birdwatching
3)Children's Play Area
4)Scenic Beauty
5)Historical Significance"
Lumbini Gardens (Nagavara Lake),Waterfront Leisure Park & Boating Destination,13.0438° N,77.6090° E,"Lumbini Gardens, Gate No. 3, Nagawara Lake, 12/13, Ward No. 07, Outer Ring Road, Hebbal, Bengaluru, Karnataka 560045, India

",#LumbiniGardens #NagavaraLake #BoatingPark #BangaloreAttractions #FamilyFun #NatureRetreat #FloatingRestaurant,1,0,1,11:00,19:00,"1)Boating Activities
2)Wave Pool
3)Floating Restaurant
4)Children's Play Area
5)Scenic Beauty"
Cubbon Park,"Urban Heritage Park & Cultural Landmark
",12.9738° N,77.5906° E,"Kasturba Road, Behind High Court of Karnataka, Ambedkar Veedhi, Sampangi Rama Nagar, Bengaluru, Karnataka 560001, India

","#CubbonPark #BangaloreGreenLung #HeritagePark #FamilyOuting #NatureWalks #ToyTrain #PhotographySpot #HistoricalLandmark

",1,1,1,06:00,18:00,"1)Lush Greenery
2)Historical Structures
3)Statues
4)Children's Attractions
5)Aquarium
6)Recreational Activities"
JP Park (Jayaprakash Narayan Biodiversity Park),Urban Biodiversity Park & Recreational Space,13.034887° N,77.553090° E,"22/1, Tank Bund Road, Brindavan Nagar, Bandappa Garden, Mathikere, Bengaluru, Karnataka 560054, India",#JPPark #JayaprakashNarayanPark #BangaloreParks #UrbanOasis #MusicalFountain #NatureWalks #FamilyOuting #BotanicalGarden #MathikerePark,1,0,1,05:00,21:00,"1)Musical Fountain
2)Botanical Diversity
3)Recreational Facilities
4)Lakes and Lawns
5)Artistic Sculptures"
Lalbagh Botanical Garden,Botanical Garden & Heritage Landmark,12.950771° N,77.584236° E,"Lalbagh Main Gate, KH Road, Bengaluru, Karnataka 560004, India",#LalbaghBotanicalGarden #BangaloreLandmark #GlassHouse #FlowerShow #HeritagePark #NatureLovers #BirdWatching #GeologicalMonument,1,1,1,06:00,19:00,"1)Glass House
2)Diverse Flora
3)Geological Monument
4)Kempegowda Tower
5)Themed Gardens
6)Bird Watching"
 Fun World Amusement Park,Amusement & Water Park ,"13.0067° N

",77.5920° E,"Palace Grounds, Jayamahal Main Road, Opposite TV Tower, J.C. Nagar, Bengaluru, Karnataka 560006, India",#FunWorldBangalore #AmusementPark #WaterWorld #SnowCity #FamilyFun #ThrillRides #BangaloreAttractions #WeekendGetaway #KidsZone #AdventurePark,1,1,1,10:30,19:00,"1)Diverse Rides
2)Water Attractions
3)Snow City
4)Wow World
5)Family-Friendly
6)Facilities"
 Vega City Mall,Modern Shopping Mall & Entertainment Hub,12.9075° N,77.6011° E,"172/1, Srinivas Industrial Estate, Bannerghatta Road, BTM Layout 2nd Stage, Bengaluru, Karnataka 560076, India","#VegaCityMall #BTMLayout #ShoppingInBangalore #PVRSuperplex #FoodCourtDelights #FamilyEntertainment #FashionHub #SouthBangalore
",1,1,1,11:00,22:00,"1)PVR Superplex
2)Retail Stores
3)Food Court
4)Fun City Arcade
5)SPAR Hypermarket"
Mantri Pinnacle,"Luxury Residential Tower & Penthouse Living
",12.9050° N,77.6011° E,"Mantri Pinnacle
Cave Temple Road, Hulimavu
Off Bannerghatta Road, Bengaluru – 560076, Karnataka, India",#MantriPinnacle #LuxuryLiving #BangaloreSkyline #PenthouseLiving #BannerghattaRoad #Hulimavu #MantriDevelopers #LuxuryApartments #SkylineViews #BangaloreRealEstate,1,1,1,,,"1)Tallest Residential Tower
2)Luxury Living
3)Exclusive Amenities
4)Prime Location
5)High-Value Residences"
Bellandur Social,Trendy Rooftop Café & Bar with a Multi-Level Terrarium Ambience,12.9264° N, 77.6871° E,"Ground & First Floors, Prestige Tech Pacific, Outer Ring Road, Varthur Hobli, Bellandur, Bengaluru – 560103, Karnataka, India",#BellandurSocial #BangaloreNightlife #RooftopBar #TerrariumCafe #SocialOffline #BellandurEats #BangaloreFoodies #CocktailsAndBites #TechParkHangout #SocialBangalore,1,1,1,09:00,23:30,"1)Architectural Marvel
2)Diverse Cuisine
3)Vibrant Ambience
4)Social Vibe"
Karim's Delhi 6,Authentic Mughlai Cuisine & North Indian Delights,,,"St. Mark’s Road (Central Bengaluru)
 23–29, Ground Floor, Unit 1, 3, 4 & 5, White House, St. Mark’s Road, Bengaluru",#KarimsBangalore #MughlaiCuisine #OldDelhiFlavors #NorthIndianDelights #KarimsDelhi6 #BangaloreEats #FoodieHaven #AuthenticTaste #BiryaniLovers #KebabsAndCurries,1,1,1,19:00,23:30,"1) Signature Dishes
2)Authentic Flavors
3)Casual Dining
4)Legacy"
Karim's Delhi 6,Authentic Mughlai Cuisine & North Indian Delights,,,"Marathahalli (East Bengaluru)
 43/2, Silver Springs Layout, Sai Baba Temple Road, Near Kundalahalli, Marathahalli, Bengaluru",#KarimsBangalore #MughlaiCuisine #OldDelhiFlavors #NorthIndianDelights #KarimsDelhi6 #BangaloreEats #FoodieHaven #AuthenticTaste #BiryaniLovers #KebabsAndCurries,1,1,1,12:00,23:30,"1) Signature Dishes
2)Authentic Flavors
3)Casual Dining
4)Legacy"
Karim's Delhi 6,Authentic Mughlai Cuisine & North Indian Delights,,,"HSR Layout (South Bengaluru)
Rahul Arcade, 53, 12th Main Road, Sector 6, HSR Layout, Bengaluru",#KarimsBangalore #MughlaiCuisine #OldDelhiFlavors #NorthIndianDelights #KarimsDelhi6 #BangaloreEats #FoodieHaven #AuthenticTaste #BiryaniLovers #KebabsAndCurries,1,1,1,12:00,23:30,"1) Signature Dishes
2)Authentic Flavors
3)Casual Dining
4)Legacy"
Oh! Bambai ,Authentic Mumbai Street Food & North Indian Chaats,12.9203° N,77.6410° E,"GF, Shop 8, 553/146, 24th Main Road, 2nd Cross, Opposite VK Enterprises, HSR Layout, Bengaluru, Karnataka 560102",#MumbaiStreetFood #Chaats #VadaPav #Dabeli #PavBhaji #Samosa #TawaPulao #VegetarianEats #BengaluruEats #HSRLayout,1,1,1,12:00,01:00,"1)Mumbai Vada Pav
2)Dabeli
3)Pav Bhaji
4)Tawa Pulao
5)Samosa Chaat"
Yediyur Lake,Urban Oasis & Recreational Park, 12.9335° N,77.5749° E,"Near 23, Kanakapura Road, Yediyur, Jayanagar, Bengaluru, Karnataka 560011",#YediyurLake #BengaluruLakes #UrbanOasis #FamilyOuting #BoatingInBangalore #NatureWalks #BirdWatching #BengaluruParks #JayanagarAttractions #WeekendGetaway,1,1,1,10:00,20:30,"1)Boating
2)Bird Watching
3)Jogging and Walking
4)Family-Friendly Activities"
Sri Jnanakshi Rajarajeshwari Temple,Dravidian Architecture & Spiritual Retreat, 12.9221° N,77.5733° E,"Sri Jnanakshi Rajarajeshwari Temple
Kenchenahalli, Rajarajeshwari Nagar, Bengaluru, Karnataka 560098, India",#SriJnanakshiRajarajeshwariTemple #RajarajeshwariNagar #BengaluruTemples #DravidianArchitecture #SpiritualRetreat #ShaktiPeetha #GoddessRajarajeshwari #NavaratriCelebrations #ChandiHoma #RajarajeshwariNaga,1,1,1," 6:00 AM 
4:30 PM","12:30 PM
8:30 PM","1)Main Deity
2)Architectural Features
3)Spiritual Significance
4)Annual Celebrations
5)Unique Phenomenon"
Sri Nimishamba Devi Temple ,Traditional South Indian Temple & Spiritual Sanctuary, 12.9390° N,77.5733° E,"Sri Nimishamba Devi Temple
Ideal Homes Circle, 93, 12th Cross Rd, Remco Bhel Layout, Ideal Homes Township, Rajarajeshwari Nagar, Bengaluru, Karnataka 560098, India",#NimishambaDevi #RajarajeshwariNagar #BengaluruTemples #ParashuramaKshetra #SpiritualSanctuary #ChandikaHoma #SouthIndianArchitecture #DivineGrace #TempleInBangalore,1,1,1," 6:30 AM
4:00 PM","1:30 PM
 8:30 PM","1)Main Deity
2)Architectural Style
3)Rituals
4)Annadana
5)Festivals"
Mari Tirupathi Sri Srinivasa Gudi,Spiritual Landmark & Architectural Marvel,12.9950° N,77.5465° E,"Mari Tirupathi Sri Srinivasa Gudi
2G5W+C25, 12th Cross Road, Mahalakshmipuram Layout, Mahalakshmi Layout, Bengaluru, Karnataka 560086, India",#MariTirupathi #SriSrinivasaGudi #ChinnaTirupati #BengaluruTemples #LordVenkateshwara #SpiritualRetreat #ArchitecturalMarvel #MahalakshmiLayout,1,1,1,"7:00 AM
5:30 PM","12:00 PM
8:30 PM","1)Main Deity
2)Architectural Highlights
3)Festivals Celebrated
4)Proximity to Other Attractions"
 Mahima Ranganathaswamy Temple,Ancient Hilltop Temple & Spiritual Trekking Destination,13.1400° N, 77.3150° E,"Mahima Ranganathaswamy Temple
Mahimapura Village, Near Dobbspet, Bengaluru Rural District, Karnataka, India",#MahimaRanganathaswamyTemple #Mahimapura #HilltopTemple #SpiritualTrek #HiddenGem #BengaluruTemples #GarudaPenance #NirakaraVishnu #HoysalaArchitecture #NatureAndSpirituality,1,1,1,10:00,13:30,"1)Unique Deity
2)Garuda's Penance
3)Architectural Highlights
4)Panoramic Views
5)Additional Shrines
6) Sunset Viewpoint"
